Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
126.0,96.582943659,102.46262529,95.416043044,787.29241,198.941397,0.609305816,1260.79695,1266.21556
127.0,96.093649794,103.03448372,95.342025416,787.404561,198.927956,0.306357966,1260.19223,1266.90322
128.0,95.885883939,103.236116,95.135896247,787.679553,198.967161,0.124124825,1260.9763,1267.08731
129.0,95.535538877,103.68863599,95.091789142,787.916308,199.020819,-0.184705016,1260.88787,1267.29087
130.0,94.95011341,104.60400494,95.4295088,787.692101,199.054546,-0.720463565,1258.88621,1266.65189
131.0,95.097611779,104.71115636,95.748426703,787.145465,199.111089,-0.845838398,1258.36152,1264.01418
132.0,95.315832672,104.53401795,95.919702813,786.659176,199.258765,-0.815967602,1258.28264,1262.10351
133.0,95.121997207,104.54103765,95.885457413,786.450514,199.4421,-0.895062101,1258.23919,1262.19722
134.0,94.808332536,104.68961933,95.97754351,786.296943,199.578017,-1.03458296,1257.94293,1262.51583
135.0,94.593419066,104.55210048,95.73184886,786.388828,199.606356,-1.06800365,1259.21652,1263.45763
136.0,95.128301206,103.83765059,95.696268138,786.549318,199.570221,-0.691015906,1261.1754,1262.87024
137.0,95.630759045,103.35166817,95.855289589,786.442409,199.428654,-0.304472292,1261.42506,1262.29889
138.0,95.752801138,103.11311015,95.706781541,786.461386,199.27442,-0.0503666496,1261.53577,1263.24545
139.0,96.058422227,102.99820442,96.069120277,786.233143,199.177089,0.218194541,1260.37131,1262.53608
140.0,96.482244772,102.54460421,96.069820367,785.987358,199.073363,0.614417269,1260.45931,1262.10787
141.0,96.509404307,102.32767853,95.874730054,786.123717,199.067784,0.837708797,1260.73022,1263.30005
142.0,96.660415142,102.14705376,95.938031322,786.222194,199.054139,1.06475984,1260.67986,1263.64507
143.0,96.465984874,102.25381205,95.845680968,786.298735,198.981787,1.0836727,1260.41841,1264.75298
144.0,96.461319813,102.18100357,95.729606332,786.482984,198.923681,1.16350561,1260.91393,1265.31235
145.0,96.514177506,102.1040332,95.622881582,786.706037,198.85572,1.24246297,1261.43574,1265.7215
146.0,96.530791694,102.16538649,95.611136638,786.851684,198.784587,1.26234665,1261.38841,1265.91016
147.0,96.314855564,102.51313216,95.651125027,786.879498,198.729129,1.11258896,1260.60976,1266.17717
148.0,96.136960998,102.87392172,95.804835453,786.742756,198.718145,0.929126482,1259.65797,1265.70356
149.0,95.936604477,103.11113864,95.781143451,786.658066,198.754759,0.744782677,1259.43492,1265.48794
150.0,95.84852336,103.23005342,95.831946865,786.610043,198.840134,0.615582648,1259.41751,1264.99788
151.0,95.610262168,103.36366961,95.684751471,786.700464,198.909337,0.443430214,1259.82742,1265.40966
152.0,94.848672207,104.01007975,95.50576651,786.962605,198.96575,-0.0406805535,1259.60071,1267.02411
153.0,93.856946869,105.22966454,95.865301364,786.786853,198.968477,-0.825188538,1257.40385,1267.2056
154.0,93.470267166,105.61288307,95.83376602,786.556205,198.931902,-1.26976835,1257.897,1266.25112
155.0,94.196028951,104.7707734,95.677238919,786.659692,198.983471,-0.995814424,1260.91051,1264.1532
156.0,94.730820024,104.14581318,95.530224166,786.912171,199.016698,-0.680251264,1262.52555,1263.79648
157.0,95.179244948,103.83705153,95.717319427,786.884353,199.000066,-0.373634862,1262.14057,1263.26596
158.0,95.513840083,103.67175924,95.963194568,786.538904,198.958922,-0.0985908571,1260.88907,1262.56571
