Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
117.0,104.06055019,104.14758935,96.075277069,784.592375,207.798678,-0.165943912,1262.3372,1259.9103
118.0,104.28488479,103.77468422,96.022775652,784.32983,207.88128,0.115586182,1262.19985,1259.93358
119.0,103.99305889,103.8541574,95.968160942,784.335411,207.990233,0.117552767,1261.67589,1261.32128
120.0,104.24077958,103.31051453,95.739789702,784.55792,208.013345,0.415391404,1263.32286,1261.93297
121.0,104.81745528,102.57290807,95.63254999,784.82178,207.957969,0.889495868,1264.91793,1262.02713
122.0,105.07376777,102.25690084,95.538295293,785.026806,207.822411,1.19314733,1265.21217,1262.91542
123.0,104.83528272,102.5799724,95.568135561,785.114218,207.678395,1.15268669,1264.00585,1264.14489
124.0,104.51778524,102.85364388,95.288547886,785.40458,207.562486,1.0255642,1264.10427,1265.59827
125.0,104.36543782,102.94814542,94.891993639,786.042488,207.513409,0.934536687,1265.38891,1266.90224
126.0,103.94659109,103.8201528,95.262850275,786.124398,207.466083,0.505140929,1263.33754,1266.64957
127.0,104.04826785,104.08457527,95.502943622,785.738316,207.41525,0.343721534,1262.44706,1264.60445
128.0,104.33268667,103.8442882,95.387847962,785.631633,207.532415,0.398340819,1263.13988,1263.33631
129.0,104.79480102,103.48367652,95.525424867,785.551601,207.732557,0.600370262,1263.31981,1261.91227
130.0,104.68543411,103.68974331,95.754755994,785.224689,207.880697,0.524579922,1261.77687,1261.60622
131.0,104.09448147,104.00019628,95.438509696,785.272068,208.01329,0.252077772,1261.73249,1263.3192
132.0,103.32142225,104.55334295,95.222176668,785.632609,208.133919,-0.207811676,1261.9422,1265.18778
133.0,102.98922629,104.99344169,95.436985797,785.618951,208.120839,-0.571202957,1261.67262,1264.70609
134.0,102.52119322,105.59881892,95.647676457,785.277398,208.038814,-1.0400988,1260.69212,1264.04251
135.0,102.59275679,105.53117697,95.695531314,785.021748,208.020099,-1.16208669,1261.36682,1262.63241
136.0,103.16441337,104.86474986,95.639668659,784.984624,208.053403,-0.894745852,1263.11243,1261.24807
137.0,103.92102916,104.15647551,95.863306995,784.79849,208.076914,-0.44316915,1263.59094,1259.71671
138.0,104.23239854,103.63727157,95.666707015,784.795318,208.060997,-0.0809711323,1264.12086,1260.4692
139.0,103.98990875,103.76317437,95.630232383,784.930786,208.0665,-0.048614382,1263.3615,1262.13802
140.0,103.65133231,103.90199141,95.347056913,785.240822,208.00089,-0.108241296,1263.71272,1264.05033
141.0,103.36390221,104.16186176,95.232698005,785.589551,207.918288,-0.248956551,1263.91799,1265.18569
142.0,103.40941444,104.34352315,95.428272794,785.575531,207.796633,-0.311129225,1263.4908,1264.46161
143.0,103.34039413,104.57940241,95.506747885,785.40947,207.706343,-0.428167829,1262.85234,1263.92326
144.0,103.06810451,104.78708262,95.249089247,785.588035,207.721875,-0.60357545,1263.21397,1264.63701
